I0229 01:14:33.429228 208080 Protraintest_ae.py:83] {'ptcloud_path': 'ptcloud_0.npz', 'img_path': 'renderings', 'label_path': 'label.npz', 'data_basedir': '../../../../What3D', 'splits_path': 'splits', 'class_path': 'classes.txt', 'image_size': 128, 'view': '0', 'log_dir': 'logs_aebatch128_0/', 'log_filename': 'Train.log', 'output_dir': 'results_aebatch128_0/', 'snapshot_dir': 'snapshots_aebatch128_0/', 'verbose_per_n_batch': 5, 'shuffle_point_order': False, 'use_manifold': False, 'alpha': 0.0, 'total_epochs': 100, 'train_batch_size': 128, 'test_batch_size': 200, 'val_batch_size': 200, 'lr_G': 0.003, 'lr_D': 0.0001, 'pool_size': 0, 'G_adam_beta1': 0.5, 'noise_pts': 1024, 'mean': 0.0, 'stddev': 1.0, 'lambda_loss_primitive': 1.0, 'lambda_loss_fine': 1.0, 'lambda_loss_manifold': 0.0, 'lambda_loss_classification': 0.0, 'momentum': 0.9, 'weight_decay': 1e-06, 'lr_decay_step': 30, 'lr_decay_rate': 0.1, 'tensorboard': None, 'checkpoint_model': None, 'checkpoint_solver': None, 'save_results': False, 'train': True, 'test': True, 'device': device(type='cuda'), 'script_folder': '/home/zyf/mixup/Pointcloud-Learning'}
I0229 01:14:33.431128 208080 Protraintester.py:359] Network Architecture:
I0229 03:07:57.157976 220133 Protraintest_ae.py:83] {'ptcloud_path': 'ptcloud_0.npz', 'img_path': 'renderings', 'label_path': 'label.npz', 'data_basedir': '../../../../What3D', 'splits_path': 'splits', 'class_path': 'classes.txt', 'image_size': 128, 'view': '0', 'log_dir': 'logs_aebatch128_0/', 'log_filename': 'Train.log', 'output_dir': 'results_aebatch128_0/', 'snapshot_dir': 'snapshots_aebatch128_0/', 'verbose_per_n_batch': 5, 'shuffle_point_order': False, 'alpha': 0.0, 'total_epochs': 100, 'train_batch_size': 128, 'test_batch_size': 200, 'val_batch_size': 200, 'epoch_to_oneloss': 5, 'lr_G': 0.003, 'lr_D': 0.0001, 'pool_size': 0, 'G_adam_beta1': 0.5, 'noise_pts': 1024, 'mean': 0.0, 'stddev': 1.0, 'lambda_loss_primitive': 1.0, 'lambda_loss_fine': 1.0, 'lambda_loss_manifold': 0.0, 'lambda_loss_classification': 0.0, 'momentum': 0.9, 'weight_decay': 1e-06, 'lr_decay_step': 30, 'lr_decay_rate': 0.1, 'tensorboard': None, 'checkpoint_model': None, 'checkpoint_solver': None, 'use_manifold': False, 'save_results': False, 'train': True, 'test': True, 'device': device(type='cuda'), 'script_folder': '/home/zyf/mixup/Pointcloud-Learning'}
I0229 03:07:57.159496 220133 Protraintester.py:357] Network Architecture:
I0229 03:07:59.167752 220133 Protraintester.py:248] Epoch=1   [  0%/36757] AVGloss (B,R)=(1.427,1.427) FineCDloss = 1.4270 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:00.753024 220133 Protraintester.py:248] Epoch=1   [  2%/36757] AVGloss (B,R)=(0.781,1.376) FineCDloss = 0.7812 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:02.249088 220133 Protraintester.py:248] Epoch=1   [  3%/36757] AVGloss (B,R)=(1.063,1.247) FineCDloss = 1.0625 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:03.736521 220133 Protraintester.py:248] Epoch=1   [  5%/36757] AVGloss (B,R)=(1.186,1.068) FineCDloss = 1.1860 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:05.235482 220133 Protraintester.py:248] Epoch=1   [  7%/36757] AVGloss (B,R)=(0.670,1.014) FineCDloss = 0.6697 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:06.710038 220133 Protraintester.py:248] Epoch=1   [  9%/36757] AVGloss (B,R)=(0.443,0.812) FineCDloss = 0.4435 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:08.223444 220133 Protraintester.py:248] Epoch=1   [ 10%/36757] AVGloss (B,R)=(0.447,0.667) FineCDloss = 0.4468 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:09.699512 220133 Protraintester.py:248] Epoch=1   [ 12%/36757] AVGloss (B,R)=(0.415,0.565) FineCDloss = 0.4152 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:11.192490 220133 Protraintester.py:248] Epoch=1   [ 14%/36757] AVGloss (B,R)=(0.422,0.504) FineCDloss = 0.4217 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:12.684504 220133 Protraintester.py:248] Epoch=1   [ 16%/36757] AVGloss (B,R)=(0.444,0.469) FineCDloss = 0.4442 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:14.164600 220133 Protraintester.py:248] Epoch=1   [ 17%/36757] AVGloss (B,R)=(0.460,0.457) FineCDloss = 0.4603 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:15.664787 220133 Protraintester.py:248] Epoch=1   [ 19%/36757] AVGloss (B,R)=(0.427,0.445) FineCDloss = 0.4269 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:17.160956 220133 Protraintester.py:248] Epoch=1   [ 21%/36757] AVGloss (B,R)=(0.509,0.469) FineCDloss = 0.5087 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:18.645745 220133 Protraintester.py:248] Epoch=1   [ 23%/36757] AVGloss (B,R)=(0.423,0.455) FineCDloss = 0.4234 Classloss = 0.0000 lr = 0.00300 
I0229 03:08:20.134178 220133 Protraintester.py:248] Epoch=1   [ 24%/36757] AVGloss (B,R)=(0.429,0.442) FineCDloss = 0.4286 Classloss = 0.0000 lr = 0.00300 
